Psi_0,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,Psi_10,Psi_11,Psi_12,Psi_13,Psi_14,Psi_15,Psi_16,Psi_17,Psi_18,Psi_19,Psi_20,Psi_21,Psi_22,Psi_23,Psi_24,Psi_25,Psi_26,Psi_27
8.167581761682688e-17,7.101342163086123e-18,1.0134306098901398e-16,3.516343999373101e-15,4.807038010030161e-14,6.031292988757084e-13,-6.682170858578587e-12,-6.60044417690777e-11,-5.860035903431766e-10,-4.7012180549191375e-09,3.4194642479321844e-08,2.2589830001789958e-07,-1.35599801410825e-06,7.389884202690583e-06,-3.6487697018943056e-05,0.00016266579425130385,-0.00065150378282998,-0.002328060283612526,-0.007351837169649722,-0.02024907791385664,-0.0477395018255726,-0.09366202139329037,0.14595826119991778,-0.16488984803117623,0.10376150449370962,0.019483833249707667,0.08511091979343176,0.026838458019958468
1.1622390433892335e-16,-5.927519392332419e-17,-3.7988197330868025e-17,1.152856497757979e-15,1.9411635653553127e-14,2.5408902643573136e-13,-2.9342705208700848e-12,-3.0190311974113874e-11,-2.7925879062777163e-10,-2.334559294487225e-09,1.7698611457714324e-08,1.2189815983193566e-07,-7.631080399990021e-07,4.338876659756908e-06,-2.236189372594034e-05,0.00010412246722476744,-0.0004359029104849824,-0.0016298136124500825,-0.005392852378193557,-0.015594498653176438,-0.03871593809559535,-0.08038043896628298,0.13376482970890846,-0.16481098741011338,0.12256639373584717,-0.004998714654050153,0.080660573382908,0.04161617500219209
5.4837626407496274e-17,8.626275205449464e-17,-2.5595862973768627e-16,2.891103018944932e-16,7.917680375079746e-15,1.0692557402850112e-13,-1.2852967490577774e-12,-1.3772453501858323e-11,-1.3270594093531445e-10,-1.155870571119917e-09,9.131758169816235e-09,6.555860422321711e-08,-4.279209408782988e-07,2.537784108339338e-06,-1.3648238706511685e-05,6.635020890483107e-05,-0.00029021741171935203,-0.0011347734033823223,-0.003931617946170838,-0.011925406678471976,-0.031137472861926436,-0.06827665826473028,0.120921802479882,-0.16123414506597072,0.13714984114179812,-0.029275322532309578,0.07201493618381077,0.054055551732106084
4.680023923824818e-17,-5.1406843971593365e-17,7.13348160762128e-17,1.9593596118262965e-16,3.282311067184611e-15,4.487574036078343e-14,-5.617471639925976e-13,-6.2674198936875585e-12,-6.28988527128357e-11,-5.707169855609348e-10,4.697941120113917e-09,3.514970887668597e-08,-2.391724131222226e-07,1.4791053483564788e-06,-8.298349588502651e-06,4.2106135824694414e-05,-0.00019234979629565918,-0.0007861491437505198,-0.002850249544717612,-0.009061171848571208,-0.024854335770248905,-0.05746380229835315,0.10800366788760689,-0.1549147695840574,0.14758284261838292,-0.05238021810637554,0.05992376837702804,0.06367932253713564
1.1390020930138035e-17,-3.103127030087174e-17,2.7094170740214403e-16,3.2087438989709923e-16,1.323105477239274e-15,1.89604096524618e-14,-2.44842869991505e-13,-2.8456445286501665e-12,-2.9740703026907705e-11,-2.810801498301597e-10,2.410430487511551e-09,1.8792117890381835e-08,-1.3327194169801026e-07,8.592698421029329e-07,-5.02786381912438e-06,2.6619273716393562e-05,-0.00012695596028020376,-0.000542131266914032,-0.002055700619763936,-0.006844633535811983,-0.01970380307344542,-0.04796446208648651,0.09544327514072747,-0.14656693437502308,0.15412377161001278,-0.07357850433801964,0.04519693289008876,0.07023089850101094
-1.3627225533900684e-16,4.928113002552742e-17,9.510245431837739e-17,-2.3362941720562213e-16,6.847936033264594e-16,7.89688022987173e-15,-1.0651405796921159e-13,-1.2893018244914396e-12,-1.4030868589166053e-11,-1.381087415630111e-10,1.2336848395086492e-09,1.00204262223016e-08,-7.405388786544277e-08,4.976861010038411e-07,-3.0364837235131122e-06,1.67697004859952e-05,-8.347423001693038e-05,-0.0003722808912270728,-0.0014756704109073818,-0.005142700094857835,-0.015523769969347472,-0.03973742164134867,0.08354756958874389,-0.1368328913884389,0.15715746137464123,-0.09235755698785887,0.028643169848411035,0.07364577726447046
-4.921066624389263e-18,9.785604513395483e-17,-3.905083236393581e-16,-1.0985154034171814e-16,3.9562307186781027e-16,3.059444612047972e-15,-4.6287630487529067e-14,-5.82611258791304e-13,-6.605819387619989e-12,-6.77128108090015e-11,6.299675699418704e-10,5.33016120916923e-09,-4.104232605018677e-08,2.8746017411529543e-07,-1.8283673336597276e-06,1.0530583961806315e-05,-5.4691803140546664e-05,-0.0002546551671964323,-0.0010547297886723747,-0.0038450870245958922,-0.012161434162277133,-0.03269971089492146,0.07251688256114337,-0.12626657123370208,0.1571427731078533,-0.10840557240238334,0.011024430441852216,0.07401682469082227
6.448745904969347e-17,-6.45120595953644e-17,1.2028456788457955e-16,8.258647895262301e-17,6.152064204100634e-17,1.5356152981687761e-15,-2.041104184715076e-14,-2.628882395384141e-13,-3.10425493300208e-12,-3.313247507516515e-11,3.2100517657136226e-10,2.8289068122411106e-09,-2.2692231227896067e-08,1.6561087898631097e-07,-1.097896921848145e-06,6.593068271360385e-06,-3.571773606980622e-05,-0.00017357430843504022,-0.000750878733245155,-0.0028620344211284813,-0.00947826904330009,-0.026743958851267135,0.06246505827701353,-0.11532774376796005,0.1545700388473095,-0.12158274847448132,-0.0069752278940821005,0.07155780518822678
-1.5883876480127882e-16,-2.0350851183010159e-16,2.8461103118124734e-16,-3.1048188564570486e-16,2.1838961101222463e-16,8.673864115005718e-16,-8.893976434151509e-15,-1.1847368784591455e-13,-1.4559710898820703e-12,-1.6182063064099015e-11,1.6325081926387368e-10,1.4982881354860706e-09,-1.251880902872458e-08,9.518631479272535e-08,-6.575939797784734e-07,4.116533227897681e-06,-2.3256733371612335e-05,-0.0001179216864041556,-0.0005326179184846621,-0.002121583253405401,-0.007352318636178606,-0.021751440272318682,0.05343862779646141,-0.10438379457743281,0.14992845063016072,-0.1318894082651458,-0.024768097373328204,0.06656831021636467
2.5011195965864593e-18,1.7727902520844027e-16,-1.1543634103353928e-16,7.60549500219667e-18,2.670609344584012e-17,3.48733219775258e-16,-3.801657495426683e-15,-5.33705818240024e-14,-6.815207416859197e-13,-7.889590093234284e-12,8.287277186835716e-11,7.920254452375951e-10,-6.892276736281559e-09,5.459003773708896e-08,-3.9295009955852005e-07,2.5637602354406754e-06,-1.5101450477962243e-05,-7.987130012615756e-05,-0.0003765367582353509,-0.0015667860385451106,-0.005678661398865416,-0.017601421901191537,0.04543397664622193,-0.09371651193990366,0.14368262402815354,-0.13943421644576304,-0.0418709580205326,0.05940213677669225
